id,predicted,actual
153,2,2
1130,2,2
1271,2,2
1089,2,2
731,0,2
751,2,2
705,2,2
316,2,2
494,2,2
207,2,2
559,2,2
1485,2,2
1227,2,2
270,2,2
1112,2,2
374,2,2
1428,2,2
394,2,2
539,2,2
244,2,2
1161,2,2
605,2,2
1311,2,2
470,2,2
617,2,2
1409,2,2
11,2,2
719,2,2
860,2,2
449,2,2
490,2,2
569,2,2
1147,2,2
457,2,2
1185,2,2
805,2,2
19,2,2
581,2,2
1166,2,2
328,2,2
1317,2,2
1395,2,2
1349,2,2
1278,2,2
160,2,2
1113,2,2
989,2,2
230,2,2
1392,2,2
36,2,2
1250,2,2
668,2,2
391,2,2
1235,2,2
1497,2,2
796,2,2
345,2,2
1491,2,2
1422,2,2
1128,2,2
410,2,2
117,2,2
861,2,2
1315,2,2
740,2,2
1299,2,2
1084,2,2
964,2,2
536,2,2
1418,2,2
203,2,2
115,2,2
601,2,2
704,2,2
440,2,2
931,2,2
304,2,2
764,2,2
655,2,2
189,2,2
828,2,2
285,2,2
82,2,2
1336,2,2
17,2,2
984,2,2
46,2,2
890,2,2
161,2,2
1461,2,2
583,2,2
1229,2,2
1115,2,2
441,2,2
1305,2,2
1213,2,2
873,2,2
1408,2,2
35,2,2
922,2,2
706,2,2
1348,2,2
683,2,2
52,2,2
460,2,2
1387,2,2
1346,2,2
1478,2,2
716,2,2
424,2,2
253,2,2
300,2,2
1477,2,2
1314,2,2
791,2,2
1002,2,2
1082,2,2
1302,2,2
429,2,2
701,2,2
1330,2,2
659,2,2
5,2,2
638,2,2
167,2,2
250,2,2
769,2,2
886,2,2
1275,2,2
893,2,2
880,2,2
399,2,2
1010,2,2
887,2,2
672,2,2
574,2,0
853,2,2
10,2,2
1066,2,2
1148,0,0
1385,2,2
1337,0,0
1445,2,2
1309,2,2
1493,2,2
762,2,2
1446,2,2
1016,0,2
1057,2,2
290,2,2
159,2,2
262,2,2
729,2,2
969,2,2
845,2,2
1397,2,2
1239,2,2
671,2,2
1296,2,2
190,2,2
1377,2,2
1233,2,2
1390,2,2
878,0,0
1416,2,2
717,2,2
1322,2,2
166,2,2
849,2,0
305,2,2
792,2,2
712,2,2
941,2,2
889,2,2
808,2,2
1495,2,2
405,2,2
451,2,2
1219,2,2
1371,2,2
1465,2,2
1481,2,2
540,2,2
759,2,2
739,2,2
1134,2,2
1293,2,2
334,2,2
1404,2,2
1124,2,2
247,2,2
1176,2,2
179,2,2
472,2,2
920,2,2
